belong_id,name,movie_id
10194,Toy Story Collection,862
119050,Grumpy Old Men Collection,15602
96871,Father of the Bride Collection,11862
645,James Bond Collection,710
117693,Balto Collection,21032
3167,Ace Ventura Collection,9273
91698,Chili Palmer Collection,8012
9435,Babe Collection,9598
9818,Mortal Kombat Collection,9312
136214,Pocahontas Collection,10530
124935,The Lawnmower Man Collection,11525
43563,Friday Collection,10634
10924,From Dusk Till Dawn Collection,755
122017,Screamers Collection,9102
256377,The Muppet Collection,10874
91430,The Neverending Story Collection,27793
14890,Bad Boys Collection,9737
120794,Batman Collection,414
439053,Brooklyn Cigar Store Collection,5894
8819,Casper Collection,8839
9649,Mexico Trilogy,8068
1570,Die Hard Collection,1572
259398,Teenage Apocalypse Trilogy,13552
9328,Free Willy Collection,9073
286162,Power Rangers Collection,9070
328073,Síť (kolekce),1642
9068,The Prophecy Collection,11980
247294,Showgirls Collection,10802
439053,Brooklyn Cigar Store Collection,10149
9887,Species Collection,9348
112399,Under Siege Collection,3512
23170,Burnt by the Sun Trilogy,50797
123800,Before... Collection,76
182813,Clerks Collection,2292
96665,Dumb and Dumber Collection,8467
410261,A Goofy Movie Collection,15789
217704,The Vampire Chronicles,628
10,Star Wars Collection,11
286948,Nemesis Collection,63105
300546,Once were Warriors Collection,527
48188,Poison Ivy Collection,18220
131,Three Colors Collection,110
131,Three Colors Collection,108
131,Three Colors Collection,109
144200,Swan Princess Series,22586
53159,The Santa Clause Collection,11395
115142,Tales from the Crypt Collection,9059
115570,Star Trek: The Next Generation Collection,193
3167,Ace Ventura Collection,3049
192492,The Jack Ryan Collection,9331
9436,The Crow Collection,9495
351684,The Flintstones (Live-Action) Collection,888
94032,The Lion King Collection,8587
8581,A Nightmare on Elm Street Collection,11596
43072,The Mask Collection,854
37139,Naked Gun Collection,36593
167985,Richie Rich Collection,11011
43064,Speed Collection,1637
170452,Timecop Collection,8831
261203,Street Fighter,11667
439409,Fear Collection,75555
8050,Highlander Collection,8011
11716,Addams Family Collection,2758
162028,Stakeout Collection,9409
85861,Beverly Hills Cop Collection,306
150156,City Slickers Collection,11310
252313,The Endless Summer Collection,24257
9328,Free Willy Collection,1634
134011,The Fugitive / U.S. Marshals Collection,5503
412680,Hard Target Collection,2019
52988,Hot Shots! Collection,9255
159600,House Party Collection,16097
328,Jurassic Park Collection,329
8580,The Karate Kid Collection,11231
5547,RoboCop Collection,5550
462565,The Secret Garden Collection,11236
105075,The Shadow Collection,8850
422837,Blade Runner Collection,78
224478,The Brady Bunch Collection,9066
9888,Home Alone Collection,771
86027,Aladdin Collection,812
528,The Terminator Collection,280
120794,Batman Collection,268
9743,The Hannibal Lecter Anthology,274
153010,Beauty and the Beast Collection,10020
98580,Candyman Collection,10824
43058,Homeward Bound Collection,25059
141086,Heavy Metal Collection,11827
8917,Hellraiser Collection,8766
140910,All Dogs Go to Heaven Collection,19042
87359,Mission: Impossible Collection,954
169452,DragonHeart Collection,8840
36694,Bloodsport Collection,25087
158391,The Apu Collection,5801
158391,The Apu Collection,896
144146,Lemmy Caution Collection,8072
143766,The Substitute Collection,20762
52888,The Visitors Collection,11687
23026,Ghost in the Shell Collection,9323
529,Wallace & Gromit Collection,532
116661,The Arrival Collection,10547
303969,"Martin Scorsese’s World Cinema Project, Vol. 1",77771
424202,Trainspotting Collection,627
304378,Independence Day Collection,602
97456,The Hunchback of Notre Dame Collection,10545
86028,The Nutty Professor Collection,9327
224478,The Brady Bunch Collection,12606
9436,The Crow Collection,10546
115142,Tales from the Crypt Collection,9431
115838,Escape From ... Collection,10061
230,The Godfather Collection,238
269098,Police Story Collection,11134
269098,Police Story Collection,38955
19163,The Land Before Time Collection,19004
91361,Halloween Collection,10987
4438,The Space Odyssey Series,62
47814,The Thin Man Collection,3529
261590,Living Dead Collection,10331
242765,In the Line of Duty Collection,39448
10709,The Mighty Ducks Collection,10680
87232,The Apple Dumpling Gang Collection,18660
181496,Davy Crockett Collection,35115
90348,Witch Mountain Collection,14821
12087,Herbie Collection,14136
12087,Herbie Collection,10869
216395,Parent Trap Collection,19186
43058,Homeward Bound Collection,6878
294519,The Shaggy Dog Collection,15944
55419,Cinderella Collection,11224
271668,Caballeros Collection,15947
100970,The Fox and the Hound Collection,10948
355490,Freeway Collection,11229
1570,Die Hard Collection,562
124935,The Lawnmower Man Collection,10163
86027,Aladdin Collection,11238
86058,Dirty Dancing Collection,88
118221,Weekend at Bernie's Collection,8491
86336,Basic Instinct Collection,402
115225,Children of the Corn Collection,25750
937,The Pink Panther (Original) Collection,11843
115838,Escape From ... Collection,1103
174218,The Howling Collection,11298
39460,The Water of the Hills Collection,4480
39460,The Water of the Hills Collection,4481
529,Wallace & Gromit Collection,531
153948,Best of the Best Collection,36555
33071,Cheech & Chong Collection,11455
10,Star Wars Collection,1891
84,Indiana Jones Collection,85
8091,Alien Collection,679
48317,The Man With No Name Collection,429
10,Star Wars Collection,1892
8091,Alien Collection,348
1960,Evil Dead Collection,766
119674,Psycho Collection,539
112636,The Blues Brothers Collection,525
230,The Godfather Collection,240
529,Wallace & Gromit Collection,530
330605,The Sting Collection,9277
528,The Terminator Collection,218
359005,The Jake Gittes Collection,829
1960,Evil Dead Collection,765
264,Back to the Future Collection,105
8050,Highlander Collection,8009
55427,Fantasia Collection,756
173344,Qatsi Collection,11314
84,Indiana Jones Collection,89
8091,Alien Collection,8077
397842,The Amityville Horror Collection,41671
397842,The Amityville Horror Collection,27214
397842,The Amityville Horror Collection,52263
397842,The Amityville Horror Collection,33519
397842,The Amityville Horror Collection,16235
397842,The Amityville Horror Collection,11449
397842,The Amityville Horror Collection,41848
422193,The Blob Collection,8851
218406,Frankenstein (Universal Series),229
98580,Candyman Collection,9529
257053,Carrie Collection,7340
8581,A Nightmare on Elm Street Collection,377
10919,The Omen Collection,794
498,Heart of Gold Collection,145
115570,Star Trek: The Next Generation Collection,199
307637,Jingle All the Way Collection,9279
105629,Paradise Lost Collection,17204
124916,101 Dalmatians (Live-Action) Collection,11674
1570,Die Hard Collection,1573
151,Star Trek: The Original Series Collection,152
151,Star Trek: The Original Series Collection,174
151,Star Trek: The Original Series Collection,172
151,Star Trek: The Original Series Collection,154
151,Star Trek: The Original Series Collection,157
151,Star Trek: The Original Series Collection,168
120794,Batman Collection,364
9329,Young Guns Collection,11967
9329,Young Guns Collection,9086
86083,Grease Collection,621
86083,Grease Collection,9037
112399,Under Siege Collection,8845
2366,The Jaws Collection,578
2366,The Jaws Collection,579
2366,The Jaws Collection,17692
2602,Scream Collection,4232
166379,Turbulence Collection,34314
269098,Police Story Collection,9404
393564,McHale's Navy Collection,14908
108693,National Lampoon's Vacation Collection,11419
86224,The Saint Collection,10003
207952,Barrytown Trilogy,11844
286162,Power Rangers Collection,6499
105995,Anaconda Collection,9360
1006,Austin Powers Collection,816
174407,Warriors of Virtue Collection,49478
259398,Teenage Apocalypse Trilogy,1811
328,Jurassic Park Collection,330
331475,Shiloh Collection,33660
43064,Speed Collection,1639
120794,Batman Collection,415
182923,Tetsuo Collection,17991
86055,Men In Black Collection,607
43055,Conan the Barbarian Collection,9387
126221,George of the Jungle Collection,10603
97445,Air Bud Collection,20737
9328,Free Willy Collection,18519
10721,Mimic Collection,4961
192492,The Jack Ryan Collection,1669
142680,Alex Cross Collection,9437
135489,Wishmaster Collection,10351
3601,I Know What You Did Last Summer Collection,3597
103372,Mr. Bean Collection,1281
