id,name,movie_id,vote_average
16,Animation,862,7.7
35,Comedy,862,7.7
10751,Family,862,7.7
12,Adventure,8844,6.9
14,Fantasy,8844,6.9
10751,Family,8844,6.9
10749,Romance,15602,6.5
35,Comedy,15602,6.5
35,Comedy,31357,6.1
18,Drama,31357,6.1
10749,Romance,31357,6.1
35,Comedy,11862,5.7
28,Action,949,7.7
80,Crime,949,7.7
18,Drama,949,7.7
53,Thriller,949,7.7
35,Comedy,11860,6.2
10749,Romance,11860,6.2
28,Action,45325,5.4
12,Adventure,45325,5.4
18,Drama,45325,5.4
10751,Family,45325,5.4
28,Action,9091,5.5
12,Adventure,9091,5.5
53,Thriller,9091,5.5
12,Adventure,710,6.6
28,Action,710,6.6
53,Thriller,710,6.6
35,Comedy,9087,6.5
18,Drama,9087,6.5
10749,Romance,9087,6.5
35,Comedy,12110,5.7
27,Horror,12110,5.7
10751,Family,21032,7.1
16,Animation,21032,7.1
12,Adventure,21032,7.1
36,History,10858,7.1
18,Drama,10858,7.1
28,Action,1408,5.7
12,Adventure,1408,5.7
18,Drama,524,7.8
80,Crime,524,7.8
18,Drama,4584,7.2
10749,Romance,4584,7.2
80,Crime,5,6.5
35,Comedy,5,6.5
80,Crime,9273,6.1
35,Comedy,9273,6.1
12,Adventure,9273,6.1
28,Action,11517,5.4
35,Comedy,11517,5.4
80,Crime,11517,5.4
35,Comedy,8012,6.4
53,Thriller,8012,6.4
80,Crime,8012,6.4
18,Drama,1710,6.5
53,Thriller,1710,6.5
28,Action,9691,6.0
12,Adventure,9691,6.0
80,Crime,9691,6.0
53,Thriller,9691,6.0
18,Drama,12665,6.3
14,Fantasy,12665,6.3
878,Science Fiction,12665,6.3
53,Thriller,12665,6.3
18,Drama,451,7.1
10749,Romance,451,7.1
18,Drama,16420,7.0
35,Comedy,9263,6.6
18,Drama,9263,6.6
10751,Family,9263,6.6
18,Drama,17015,7.4
10749,Romance,17015,7.4
14,Fantasy,902,7.6
878,Science Fiction,902,7.6
12,Adventure,902,7.6
18,Drama,37557,6.5
80,Crime,37557,6.5
18,Drama,9909,6.4
80,Crime,9909,6.4
878,Science Fiction,63,7.4
53,Thriller,63,7.4
9648,Mystery,63,7.4
10749,Romance,78802,6.8
12,Adventure,78802,6.8
14,Fantasy,9598,6.0
18,Drama,9598,6.0
35,Comedy,9598,6.0
10751,Family,9598,6.0
36,History,47018,6.4
18,Drama,47018,6.4
10749,Romance,47018,6.4
18,Drama,687,7.3
12,Adventure,139405,3.5
36,History,139405,3.5
18,Drama,139405,3.5
10751,Family,139405,3.5
35,Comedy,33689,6.1
10751,Family,33689,6.1
10749,Romance,33689,6.1
35,Comedy,9603,6.9
18,Drama,9603,6.9
10749,Romance,9603,6.9
18,Drama,34615,6.7
18,Drama,31174,6.9
10752,War,31174,6.9
28,Action,11443,6.6
80,Crime,11443,6.6
18,Drama,11443,6.6
36,History,11443,6.6
18,Drama,35196,6.3
10749,Romance,35196,6.3
28,Action,9312,5.4
14,Fantasy,9312,5.4
14,Fantasy,577,6.7
18,Drama,577,6.7
35,Comedy,577,6.7
53,Thriller,577,6.7
18,Drama,11861,6.5
10749,Romance,11861,6.5
80,Crime,807,8.1
9648,Mystery,807,8.1
53,Thriller,807,8.1
12,Adventure,10530,6.7
16,Animation,10530,6.7
18,Drama,10530,6.7
10751,Family,10530,6.7
18,Drama,8391,5.9
10749,Romance,8391,5.9
18,Drama,629,8.1
80,Crime,629,8.1
53,Thriller,629,8.1
28,Action,117164,6.3
53,Thriller,117164,6.3
18,Drama,117164,6.3
35,Comedy,11448,6.7
10749,Romance,11448,6.7
18,Drama,49133,7.7
10769,Foreign,49133,7.7
28,Action,26441,5.2
12,Adventure,26441,5.2
35,Comedy,26441,5.2
10751,Family,26441,5.2
18,Drama,97406,6.1
35,Comedy,9089,6.3
18,Drama,9089,6.3
10749,Romance,9089,6.3
35,Comedy,11010,7.6
18,Drama,11010,7.6
10749,Romance,11010,7.6
53,Thriller,99040,6.5
18,Drama,99040,6.5
9648,Mystery,99040,6.5
12,Adventure,11359,5.9
10751,Family,11359,5.9
14,Fantasy,11359,5.9
18,Drama,17182,5.8
53,Thriller,17182,5.8
10402,Music,2054,6.9
18,Drama,2054,6.9
10751,Family,2054,6.9
35,Comedy,10607,6.2
35,Comedy,19760,4.5
10749,Romance,19760,4.5
35,Comedy,9536,4.4
28,Action,11525,2.8
878,Science Fiction,11525,2.8
18,Drama,40628,5.4
10751,Family,40628,5.4
35,Comedy,4482,6.0
10749,Romance,4482,6.0
35,Comedy,10634,7.0
27,Horror,755,6.9
28,Action,755,6.9
53,Thriller,755,6.9
80,Crime,755,6.9
28,Action,11859,4.1
53,Thriller,11859,4.1
10749,Romance,11859,4.1
35,Comedy,28387,7.0
18,Drama,28387,7.0
10749,Romance,28387,7.0
18,Drama,48750,6.6
36,History,48750,6.6
18,Drama,20927,5.1
10749,Romance,20927,5.1
35,Comedy,36929,3.9
10751,Family,36929,3.9
27,Horror,9102,6.1
